"A","B","C","Feature 1","Target"
"1","0.5","0.25","",""
"21","20.5","20.25","",""
"1","0.5","0.25","",""
"7.6666666666667","7.1666666666667","6.9166666666667","",""
"7.6666666666667","7.1666666666667","6.9166666666667","",""
"7.6666666666667","7.1666666666667","6.9166666666667","",""
"7.6666666666667","7.1666666666667","6.9166666666667","",""
"7.6666666666667","7.1666666666667","6.9166666666667","",""
"7.6666666666667","7.1666666666667","6.9166666666667","",""
"7.6666666666667","7.1666666666667","6.9166666666667","",""
